word	occu	freq-per-mill	usual	rank	racio
magrelo	1	322.16	9.45	105813	34.09
adrenalina	1	322.16	68.10	14681	4.73
arranjar	1	322.16	83.54	11968	3.86
força	1	322.16	1707.36	583	0.19
suficiente	1	322.16	740.91	1347	0.43
entretanto	1	322.16	497.09	3108	0.65
sangue	1	322.16	786.35	1269	0.41
ambulância	1	322.16	68.38	14622	4.71
levaram-no	1	322.16	11.69	85535	27.56
hospital	1	322.16	484.57	2061	0.66
ponto	1	322.16	2734.48	338	0.12
pessoalmente	1	322.16	219.22	4559	1.47
agradecer-me	1	322.16	2.25	444293	143.14
dinheiro	1	322.16	2533.57	392	0.13
rejeitar	1	322.16	6.26	17108	51.49
ideia	1	322.16	1613.68	617	0.20
levantar	1	322.16	219.94	4544	1.46
forte	1	322.16	1608.49	619	0.20
perguntar-te	1	322.16	4.24	236063	76.05
nem	1	322.16	5473.45	180	0.06
descrever	1	322.16	176.66	5658	1.82
ambos	1	322.16	800.83	1246	0.40
cedo	1	322.16	505.38	1976	0.64
trabalhar	1	322.16	1427.14	698	0.23
deitar	1	322.16	82.27	12152	3.92
encostar	1	322.16	38.70	25838	8.32
cabeça	1	322.16	1425.11	699	0.23
punhr	1	322.16	3.10	OFV	104.04
posição	1	322.16	1225.94	813	0.26
cena	1	322.16	556.27	1795	0.58
fresco	1	322.16	62.56	7066	5.15
adormecer	1	322.16	7.36	26445	43.79
epá	1	322.16	6.93	144268	46.48
reviver	1	322.16	52.94	18887	6.09
sinter	1	322.16	377.40	379204	0.85
Sr.	1	322.16	314.50	3177	1.02
pergunta	1	322.16	457.31	1671	0.70
Agradeço	1	322.16	143.15	8281	2.25
e-mail	1	322.16	878.19	1136	0.37
participação	1	322.16	1637.47	608	0.20
obrigada	1	322.16	298.71	3345	1.08
Obrigada	1	322.16	298.71	3749	1.08
resto	1	322.16	511.59	1952	0.63
